event,event_latitude,event_longitude,event_document,event_importance,event_date,event_source_name
KILL,38.4199,-117.122,['https://m.lasvegassun.com/news/2020/oct/08/nevada-loosens-elevated-risk-definition-counties/'],['649'],[20201009054500],['lasvegassun.com']
KILL,38.4623,-92.302,"['http://historynewsnetwork.org/article/177719', 'https://www.tonyskansascity.com/2020/10/kansas-city-tent-protest-over-pregnant.html', 'https://www.power965.com/2020/10/08/missouri-reports-jump-in-covid-19-cases-hospitalizations-reach-record-high/', 'https://www.msn.com/en-us/news/us/coronavirus-update-missouri-up-nearly-1500-cases-arkansas-adds-800-new-cases/ar-BB16v3I3']","['168', '2000', '23', '259']","[20201009040000, 20201009040000, 20201009023000, 20201009021500]","['historynewsnetwork.org', 'tonyskansascity.com', 'power965.com', 'msn.com']"
KILL,38.5111,-96.8005,['https://www.muskogeephoenix.com/news/fire-marshal-says-awareness-activities-hampered/article_af9172fc-ed71-592a-8f91-9541e52e5cab.html'],['7'],[20201009054500],['muskogeephoenix.com']
KILL,38.5816,-121.494,"['http://www.ruthfullyyours.com/2020/10/08/californias-illogical-reparations-bill-by-victor-davis-hanson/', 'https://www.davisenterprise.com/local-news/uc-davis-student-identified-as-suspect-in-arden-arcade-shooting/']","['24', '3']","[20201009023000, 20201009004500]","['ruthfullyyours.com', 'davisenterprise.com']"
KILL,38.8668,-78.5997,['https://www.nvdaily.com/nvdaily/virus-cases-continue-recent-uptick-in-local-health-district/article_e329cda5-024e-5686-a4e1-a8be70f4179b.html'],['118'],[20201009001500],['nvdaily.com']
KILL,38.8951,-77.0364,"['https://www.local10.com/news/politics/2020/10/09/trump-says-hes-ready-for-rallies-but-details-slim-on-health/', 'https://www.telegraph.co.uk/news/2020/10/09/donald-trump-coronavirus-covid-hospital-us-election-presidential-debate/', 'https://www.vanguardngr.com/2020/10/trump-refuses-to-take-part-in-virtual-debate-with-biden/', 'https://www.hpr2.org/post/white-house-physician-expects-trumps-safe-return-public-engagements-saturday', 'https://www.ottawaherald.com/ZZ/news/20201008/trump-says-hes-ready-for-rallies-doctor-says-therapy-done', 'https://www.wusa9.com/article/traffic/advocates-push-for-pedestrian-safety-october-spike-in-crashes/65-ad7999be-75a6-49e4-8eca-3d7c5bb454c2', 'https://www.reformer.com/brattleboro-reformer/peter-fish-case-trumps-latest-slice-of-crazy-cant-just-be-brushed-off/article_94535164-07e6-11eb-8372-57782fa0c4f8.html', 'https://www.msn.com/en-us/money/markets/china-joins-whos-covax-vaccine-program-virus-update/ar-BB19NZAt', 'https://www.dailymail.co.uk/news/article-8821803/Shares-major-cannabis-producers-surge-19-Kamala-Harris-vows-decriminalize-pot.html', 'https://www.washingtontimes.com/news/2020/oct/8/university-of-minnesota-alters-spring-break-for-5-/']","['210', '21', '212', '200', '2000000', '7', '10000', '1', '211', '107']","[20201009054500, 20201009054500, 20201009053000, 20201009050000, 20201009050000, 20201009040000, 20201009040000, 20201009023000, 20201009023000, 20201009000000]","['local10.com', 'telegraph.co.uk', 'vanguardngr.com', 'hpr2.org', 'ottawaherald.com', 'wusa9.com', 'reformer.com', 'msn.com', 'dailymail.co.uk', 'washingtontimes.com']"
KILL,38.8964,-77.0262,"['http://www.coronadonewsca.com/opinion/a-debate-to-end-all-debates/article_58e84928-09ca-11eb-ba60-63004375d14f.html', 'http://www.msn.com/en-us/news/politics/trump-should-be-able-to-resume-public-events-saturday-doctor-says/ar-BB19OGz0']","['19', '9']","[20201009053000, 20201009004500]","['coronadonewsca.com', 'msn.com']"
KILL,39.0,22.0,"['https://www.thenationalherald.com/archive_general_news_greece/arthro/greece_registers_436_new_coronavirus_cases_on_thursday-977935/', 'https://apnews.com/article/virus-outbreak-health-washington-archive-f15e68da39e583df0b8362f9e1a6801d']","['6', '183']","[20201009004500, 20201009004500]","['thenationalherald.com', 'apnews.com']"
KILL,39.0001,-76.6164,['https://patch.com/maryland/annearundel/aacps-adopts-hybrid-model-eligible-students-can-opt'],['242'],[20201009023000],['patch.com']
KILL,39.059012,34.911546,"['https://turkishpress.com/turkey-preschoolers-to-have-5-day-in-person-education/', 'https://vestnikkavkaza.net/news/Turkey-reports-1-615-new-COVID-19-patients.html']","['8', '58']","[20201009014500, 20201009001500]","['turkishpress.com', 'vestnikkavkaza.net']"
