event,event_importance,event_latitude,event_longitude,event_date,event_document,event_source_name
KILL,3,42.2373,-71.5314,20201006000000.0,https://www.ack.net/news/20201005/no-new-coronavirus-cases-reported-on-nantucket-for-third-straight-day-monday,ack.net
KILL,209,39.828175,-98.5795,20201006000000.0,https://www.knek.com/news/trump-says-hes-leaving-hospital-for-white-house-feels-good/,knek.com
KILL,14,40.3363,-89.0022,20201006000000.0,https://herald-review.com/news/local/public_safety/shelby-county-reports-long-term-care-facility-has-10-new-virus-cases/article_e71b5d0c-1495-5550-94c9-4a227e1e1aa5.html,herald-review.com
KILL,19,31.106,-97.6475,20201006000000.0,https://www.sfgate.com/news/article/John-Hagee-prominent-megachurch-pastor-ill-with-15623325.php,sfgate.com
AFFECT,19,,,20201006000000.0,https://1063cowboycountry.com/heres-where-you-can-trunk-or-treat-in-cheyenne-in-2020/,1063cowboycountry.com
KILL,2,34.8375,-106.237,20201006000000.0,https://www.houstonchronicle.com/news/article/New-Mexico-governor-self-isolates-after-staff-15623284.php,houstonchronicle.com
PROTEST,1970,-25,135,20201006000000.0,https://asunow.asu.edu/20201005-former-timor-leste-president-says-strong-leadership-can-lead-recovery-during-asu,asu.edu
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.heraldbulletin.com/news/nation_world/the-latest-harris-pence-debate-will-have-plexiglass-shield/article_6fc4936c-244c-54b4-acc7-f8c8306a7b9c.html,heraldbulletin.com
KILL,19,38.8951,-77.0364,20201006000000.0,https://thehill.com/opinion/healthcare/519611-forget-politics-and-take-covid-19-seriously,thehill.com
KILL,19,42.0046,-93.214,20201006000000.0,https://globalpossibilities.org/did-trump-just-cut-guest-farmworker-wages-by-as-much-as-50-percent/,globalpossibilities.org
AFFECT,536,39.828175,-98.5795,20201006000000.0,https://salem.wickedlocal.com/news/20201005/regal-will-close-all-us-theaters-after-new-bond-movie-no-time-to-die-delayed-to-2021/1,wickedlocal.com
KILL,2000000,49.25,-123.133,20201006000000.0,https://www.prpeak.com/west-vancouver-man-sentenced-to-10-years-in-death-of-business-partner-1.24215617,prpeak.com
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.mdjonline.com/ap/national/trump-still-infectious-back-at-white-house----without-mask/article_b9746a0c-3be7-56c5-991a-465f1c3605d3.html,mdjonline.com
KILL,19,39.828175,-98.5795,20201006000000.0,https://www.skynews.com.au/details/_6197765633001,skynews.com.au
KILL,9,59.8944,30.2642,20201006000000.0,https://richmond.com/news/state-and-regional/govt-and-politics/covid-19-outbreak-infects-18-patients-11-employees-at-central-state/article_8791251b-05f0-5e84-b202-50dfe738c937.html,richmond.com
KILL,1000000,46.1956,6.14811,20201006000000.0,https://www.kzyx.org/post/10-global-population-may-have-contracted-coronavirus-who-says,kzyx.org
KILL,210,38.8951,-77.0364,20201006000000.0,https://madison.com/news/national/govt-and-politics/trump-still-infectious-back-at-white-house----without-mask/article_d2068bba-69b4-535c-8eea-3389df05b16e.html,madison.com
KILL,14,60,-96,20201006000000.0,https://www.thestar.com.my/news/world/2020/10/06/canada-reports-1800-average-daily-covid-19-cases-in-past-week,thestar.com.my
WOUND,24,41,75,20201006000000.0,https://www.clickondetroit.com/news/world/2020/10/05/protesters-erupt-in-kyrgyzstan-after-parliamentary-election/,clickondetroit.com
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.morrisherald-news.com/2020/10/05/trump-tweets-that-hes-leaving-hospital-monday/addlsiq/,morrisherald-news.com
KILL,205,39.828175,-98.5795,20201006000000.0,https://tdn.com/news/national/govt-and-politics/pence-takes-lead-role-in-campaign-with-trump-travel-stopped/article_763266d8-c09f-5a28-8a77-c62df74ba8d7.html,tdn.com
ARREST,16,,,20201006000000.0,http://www.ifiberonenewsradio.com/news/local_news/police-arrest-16-protesters-in-seattles-capitol-hill-area/article_9d9ef8ca-0707-11eb-aef3-c7c7fcfdf3db.html,ifiberonenewsradio.com
KILL,205,39.828175,-98.5795,20201006000000.0,https://fremonttribune.com/news/national/govt-and-politics/pence-takes-lead-role-in-campaign-with-trump-travel-stopped/article_934c77fb-6be0-54df-866d-a5c0541e3758.html,fremonttribune.com
KILL,700,-22,17,20201006000000.0,https://thenationonlineng.net/nigeria-at-60-blame-the-leadership/,thenationonlineng.net
ARREST,29,,,20201006000000.0,https://www.jsonline.com/story/news/crime/2020/10/05/milwaukee-police-arrest-man-funeral-home-shooting-wounded-7/3631254001/,jsonline.com
KILL,12,36.17,-119.746,20201006000000.0,https://lasvegassun.com/news/2020/oct/05/suit-seeks-to-force-listing-of-bistate-grouse-on-n/,lasvegassun.com
KILL,7,60,-96,20201006000000.0,https://www.timescolonist.com/inpatient-admissions-suspended-at-delta-hospital-due-to-covid-19-outbreak-1.24215547,timescolonist.com
KILL,657,33.833333,35.833333,20201006000000.0,https://www.shanghaisun.com/news/266604706/lebanon-registers-1175-new-covid-19-cases-45657-in-total,shanghaisun.com
PROTEST,11,38.8951,-77.0364,20201006000000.0,https://mycolumbuspower.com/3472164/as-pence-harris-debate-looms-so-does-uncertainty/,mycolumbuspower.com
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.aljazeera.com/news/2020/10/5/us-coronavirus-cases-hit-210000-trump-working-from-hospital,aljazeera.com
KILL,14,,,20201006000000.0,https://www.chardandilminsternews.co.uk/news/national/uk-today/18772006.apples-latest-iphone-update-reportedly-draining-batteries---fix/,chardandilminsternews.co.uk
AFFECT,4,-36.1167,174.567,20201006000000.0,https://www.stuff.co.nz/national/300124979/mangawhai-beach-rescue-young-swimmers-pulled-to-safety-by-offduty-lifeguard,stuff.co.nz
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.theglobeandmail.com/world/article-trump-pumps-fist-as-he-walks-out-of-hospital/,theglobeandmail.com
WOUND,48,18.6038,109.973,20201006000000.0,https://www.prnewswire.com/news-releases/rosen-a-top-ranked-law-firm-continues-to-investigate-securities-claims-against-huazhu-group-limited--htht-301146040.html,prnewswire.com
AFFECT,12,38.8951,-77.0364,20201006000000.0,https://www.stuff.co.nz/world/americas/300125184/donald-trump-leaves-hospital-exhorts-us-not-to-fear-the-virus,stuff.co.nz
KILL,3,29.7633,-95.3633,20201006000000.0,http://1220thelegends.com/3-killed-in-houston-building-collapse-1-injured/,1220thelegends.com
KILL,2014,39.828175,-98.5795,20201006000000.0,http://www.therepublic.com/2020/10/05/us-virus-outbreak-trump-he-gets-it/,therepublic.com
KILL,14,,,20201006000000.0,https://www.gazette-news.co.uk/news/national/uk-today/18772006.apples-latest-iphone-update-reportedly-draining-batteries---fix/,gazette-news.co.uk
KILL,39,34.02,-6.83,20201006000000.0,https://www.shanghaisun.com/news/266603542/morocco-registers-1423-new-covid-19-cases-134695-in-total,shanghaisun.com
KILL,2000000,49.25,-123.133,20201006000000.0,https://www.news957.com/national/2020/10/05/west-vancouver-man-sentenced-to-10-years-in-death-of-business-partner/,news957.com
KILL,210,38.8951,-77.0364,20201006000000.0,https://www.msn.com/en-us/news/politics/what-could-america-be-like-if-democrats-win-this-election/ar-BB19JnQT,msn.com
PROTEST,209,38.8951,-77.0364,20201006000000.0,https://knpr.org/npr/2020-10/trump-leaves-walter-reed-3-days-after-admission-covid-19-treatment,knpr.org
KILL,5,60,-96,20201006000000.0,https://lethbridgeherald.com/news/national-news/2020/10/05/health-officials-steering-in-uncertain-waters-in-tackling-2nd-wave-of-covid19-tam/,lethbridgeherald.com
KILL,200,-34.9197,138.604,20201006000000.0,https://www.theland.com.au/story/6954850/melatonin-implant-boosts-twin-lamb-survival-rates/?cs=4941,theland.com.au
AFFECT,19,8,-66,20201006000000.0,http://www.ecns.cn/news/politics/2020-10-06/detail-ihaaraky0557362.shtml,ecns.cn
ARREST,4,-30,26,20201006000000.0,https://www.moneyweb.co.za/mymoney/moneyweb-tax/waiting-for-tax-justice-spare-a-thought-for-sars/,moneyweb.co.za
KILL,1000000,46.1956,6.14811,20201006000000.0,https://www.kazu.org/post/10-global-population-may-have-contracted-coronavirus-who-says,kazu.org
KILL,53,42.7475,-107.209,20201006000000.0,https://k2radio.com/gov-gordon-virus-vigilance-in-wyoming-sliding/,k2radio.com
KILL,7,60,-96,20201006000000.0,https://www.prpeak.com/inpatient-admissions-suspended-at-delta-hospital-due-to-covid-19-outbreak-1.24215547,prpeak.com
AFFECT,317,54,-4,20201006000000.0,https://www.burytimes.co.uk/news/national/18772104.flagship-immigration-legislation-suffers-heavy-defeats-lords/,burytimes.co.uk
ARREST,9,42.1497,-74.9384,20201006000000.0,https://www.amren.com/news/2020/10/a-battle-for-the-souls-of-black-girls/,amren.com
